CD,NM,ROE,PER,PBR,PROFIT,INCOME
A282330,BGF리테일,"[26.46, 18.6, 19.61]","[19.35, 19.09, 17.03]","[4.7, 3.36, 3.11]","[1966, 1622, 1994]","[1514, 1227, 1476]"
A000995,DB하이텍1우,"[17.12, 17.39, 23.07, 31.18]","[5.56, 11.74, 13.67, 10.61]","[0.84, 1.86, 2.79, 2.81]","[1130, 1813, 2393, 3810]","[868, 1046, 1660, 2908]"
A000990,DB하이텍,"[17.12, 17.39, 23.07, 31.18]","[5.56, 11.74, 13.67, 10.61]","[0.84, 1.86, 2.79, 2.81]","[1130, 1813, 2393, 3810]","[868, 1046, 1660, 2908]"
A000215,DL우,"[12.37, 11.74, 11.84, 30.08]","[6.12, 5.25, 6.34, 1.39]","[0.73, 0.59, 1.24, 0.4]","[8454, 1360, 1190, 2476]","[6781, 7103, 5727, 9232]"
A001880,DL건설,"[23.04, 23.71, 19.95]","[3.17, 3.94, 3.6]","[0.66, 0.89, 0.66]","[1430, 2034, 2296]","[951, 1493, 1756]"
A000210,DL,"[12.37, 11.74, 11.84, 30.08]","[6.12, 5.25, 6.34, 1.39]","[0.73, 0.59, 1.24, 0.4]","[8454, 1360, 1190, 2476]","[6781, 7103, 5727, 9232]"
A078935,GS우,"[11.14, 6.26, -2.81, 16.76]","[5.41, 8.98, -14.65, 2.5]","[0.58, 0.55, 0.43, 0.39]","[22098, 20331, 9206, 24638]","[10305, 6689, -1878, 14991]"
A078930,GS,"[11.14, 6.26, -2.81, 16.76]","[5.41, 8.98, -14.65, 2.5]","[0.58, 0.55, 0.43, 0.39]","[22098, 20331, 9206, 24638]","[10305, 6689, -1878, 14991]"
A016385,KG동부제철우,"[-7.44, 7.18, 17.99]","[-8.37, 17.37, 5.55]","[0.88, 1.19, 0.92]","[346, 1108, 2969]","[-335, 669, 1907]"
A016380,KG동부제철,"[-7.44, 7.18, 17.99]","[-8.37, 17.37, 5.55]","[0.88, 1.19, 0.92]","[346, 1108, 2969]","[-335, 669, 1907]"
A001120,LG상사,"[-6.06, 2.48, 23.71, 24.48]","[-8.46, 20.41, 3.22, 2.61]","[0.53, 0.5, 0.66, 0.52]","[1657, 1348, 1598, 6509]","[-360, -149, 3616, 5374]"
A051905,LG생활건강우,"[20.32, 17.92, 16.65]","[28.71, 35.99, 23.01]","[5.1, 5.71, 3.41]","[11764, 12209, 12896]","[7882, 8131, 8611]"
A051900,LG생활건강,"[20.32, 17.92, 16.65]","[28.71, 35.99, 23.01]","[5.1, 5.71, 3.41]","[11764, 12209, 12896]","[7882, 8131, 8611]"
A011070,LG이노텍,"[4.73, 10.2, 30.94]","[32.39, 18.29, 9.7]","[1.5, 1.78, 2.6]","[4764, 6810, 12642]","[1023, 2361, 8883]"
A051915,LG화학우,"[1.84, 2.93, 18.47]","[79.31, 125.83, 13.12]","[1.43, 3.55, 2.21]","[8254, 18054, 50255]","[3761, 6824, 39539]"
A051910,LG화학,"[1.84, 2.93, 18.47]","[79.31, 125.83, 13.12]","[1.43, 3.55, 2.21]","[8254, 18054, 50255]","[3761, 6824, 39539]"
A035420,NAVER,"[10.56, 15.21, 106.72]","[52.72, 47.97, 3.77]","[4.67, 5.85, 2.4]","[11550, 12153, 13255]","[3968, 8450, 164776]"
A008260,NI스틸,"[5.91, 10.45, 16.75]","[9.85, 6.05, 4.38]","[0.57, 0.6, 0.68]","[121, 186, 312]","[64, 121, 221]"
A010060,OCI,"[-26.2, -9.89, 23.93]","[-1.88, -9.01, 3.83]","[0.57, 0.94, 0.81]","[-1806, -861, 6260]","[-8074, -2512, 6521]"
A010955,S-Oil우,"[1.01, -13.07, 21.76]","[169.84, -10.14, 7.25]","[1.71, 1.42, 1.43]","[4201, -10991, 21409]","[654, -7961, 13785]"
A010950,S-Oil,"[1.01, -13.07, 21.76]","[169.84, -10.14, 7.25]","[1.71, 1.42, 1.43]","[4201, -10991, 21409]","[654, -7961, 13785]"
A950110,SBI핀테크솔루션즈,"[30.05, 22.11, 17.22]","[33.78, 18.41, 28.14]","[7.95, 3.45, 4.64]","[141, 121, 151]","[94, 93, 79]"
A009160,SIMPAC,"[20.48, 2.17, 7.54, 16.17]","[1.67, 20.31, 4.73, 5.35]","[0.34, 0.4, 0.31, 0.68]","[102, 111, 78, 890]","[692, 95, 341, 814]"
A210980,SK디앤디,"[12.66, 14.88, 22.91]","[12.31, 14.52, 5.76]","[1.53, 1.99, 1.2]","[823, 1398, 1294]","[449, 661, 1336]"
A002710,TCC스틸,"[4.42, -1.3, 21.49]","[12.4, -81.98, 7.9]","[0.51, 1.05, 1.49]","[129, 10, 256]","[50, -17, 287]"
A013580,계룡건설,"[24.46, 16.94, 18.69, 19.36]","[2.18, 2.53, 2.66, 2.38]","[0.49, 0.4, 0.45, 0.42]","[1537, 1359, 1748, 1890]","[945, 746, 954, 1180]"
A049720,고려신용정보,"[0.0, 39.79, 31.62]","[10.67, 8.29, 12.35]","[3.05, 2.84, 3.58]","[81, 100, 125]","[66, 103, 99]"
A098460,고영,"[12.59, 3.74, 15.04]","[48.87, 157.37, 41.1]","[5.85, 5.77, 5.71]","[333, 158, 414]","[296, 92, 396]"
A215000,골프존,"[10.63, 8.21, 18.02, 34.39]","[10.28, 26.67, 11.36, 10.49]","[1.08, 2.16, 1.94, 3.16]","[282, 323, 516, 1241]","[204, 162, 375, 891]"
A007690,국도화학,"[6.93, 5.54, 23.53]","[7.81, 10.68, 2.88]","[0.51, 0.55, 0.61]","[421, 460, 2047]","[355, 308, 1571]"
A083450,GST,"[12.42, 19.83, 15.06, 30.88]","[4.3, 5.32, 10.14, 7.73]","[0.49, 0.91, 1.37, 1.95]","[104, 219, 182, 482]","[103, 180, 155, 411]"
A002995,금호건설우,"[-0.13, 3.2, 6.89, 28.31]","[-907.86, 35.65, 12.63, 2.73]","[1.17, 1.08, 0.83, 0.63]","[423, 555, 812, 1278]","[-5, 117, 264, 1372]"
A002990,금호건설,"[-0.13, 3.2, 6.89, 28.31]","[-907.86, 35.65, 12.63, 2.73]","[1.17, 1.08, 0.83, 0.63]","[423, 555, 812, 1278]","[-5, 117, 264, 1372]"
A011785,금호석유우,"[23.45, 11.84, 20.18, 49.78]","[5.95, 8.81, 8.33, 2.46]","[1.04, 0.82, 1.28, 0.84]","[5546, 3654, 7422, 24842]","[5031, 2947, 5830, 20204]"
A011780,금호석유,"[23.45, 11.84, 20.18, 49.78]","[5.95, 8.81, 8.33, 2.46]","[1.04, 0.82, 1.28, 0.84]","[5546, 3654, 7422, 24842]","[5031, 2947, 5830, 20204]"
A190510,나무가,"[-0.94, -19.1, 33.49]","[-435.87, -18.77, 11.43]","[3.7, 3.86, 3.2]","[27, -23, 230]","[-6, -79, 160]"
A130580,나이스디앤비,"[22.21, 21.19, 18.38, 18.89]","[11.77, 12.04, 14.02, 11.5]","[2.42, 2.33, 2.41, 2.0]","[104, 128, 141, 161]","[93, 113, 113, 137]"
A041140,넥슨지티,"[2.78, 3.61, 21.55]","[83.98, 118.15, 27.75]","[2.22, 4.06, 5.22]","[-287, 31, 273]","[29, 40, 271]"
A194700,노바렉스,"[14.51, 17.23, 24.25, 20.14]","[13.46, 12.3, 13.95, 14.66]","[1.6, 1.74, 2.68, 2.39]","[113, 163, 270, 294]","[92, 145, 250, 255]"
A285490,노바텍,"[29.21, 16.42, 44.1, 41.46]","[14.99, 18.92, 19.29, 10.31]","[4.08, 3.56, 6.25, 3.4]","[67, 55, 293, 342]","[69, 55, 271, 325]"
A270870,뉴트리,"[7.79, 17.94, 30.0, 25.71]","[39.26, 13.21, 11.78, 8.84]","[2.25, 2.19, 3.1, 2.01]","[99, 120, 235, 232]","[21, 95, 194, 204]"
A119860,다나와,"[19.68, 23.63, 25.11, 19.55]","[12.19, 13.22, 13.0, 10.12]","[2.19, 2.82, 2.91, 1.83]","[202, 284, 378, 345]","[164, 236, 309, 288]"
A047040,대우건설,"[13.2, 8.8, 11.06, 17.29]","[7.5, 9.44, 7.3, 4.82]","[0.97, 0.79, 0.77, 0.76]","[6287, 3641, 5583, 7313]","[2973, 2012, 2826, 5058]"
A078600,대주전자재료,"[0.58, -1.11, 6.12, 15.7]","[655.08, -301.11, 140.54, 97.49]","[3.13, 3.25, 8.09, 13.63]","[37, 27, 90, 175]","[5, -7, 53, 147]"
A054670,대한뉴팜,"[29.27, -16.82, 22.15]","[9.8, -17.87, 9.97]","[2.39, 2.99, 1.86]","[207, 246, 267]","[152, -101, 157]"
A084010,대한제강,"[-3.83, 6.73, 10.21, 26.61]","[-8.04, 4.93, 5.26, 2.52]","[0.29, 0.29, 0.45, 0.52]","[46, 420, 818, 2055]","[-178, 296, 531, 1764]"
A005880,대한해운,"[10.94, 11.47, 1.1, 21.58]","[6.95, 6.21, 84.53, 3.4]","[0.7, 0.67, 0.93, 0.63]","[1350, 1288, 1459, 1925]","[783, 1010, 275, 2482]"
A298540,더네이쳐홀딩스,"[0.0, 0, 35.28, 0, 33.66, 26.13]","[0.0, 0, 0.0, 0, 6.53, 8.65]","[0, 0, 1.75, 2.0]","[0, 0, 552, 584]","[0, 0, 404, 500]"
A192080,더블유게임즈,"[19.02, 18.93, 16.94, 17.02]","[12.28, 8.25, 9.82, 7.14]","[1.94, 1.3, 1.51, 1.0]","[1358, 1546, 1942, 1993]","[878, 1103, 1248, 1620]"
A299170,더블유에스아이,"[84.11, 0.0, -8.81, 17.19]","[0.0, 0.0, -59.53, 15.64]","[0.0, 0.0, 4.04, 2.52]","[52, 46, 56, 65]","[40, 35, -16, 47]"
A145720,덴티움,"[19.25, 7.37, 10.34, 19.32]","[18.58, 40.28, 20.18, 12.85]","[2.55, 2.24, 1.55, 1.76]","[420, 447, 396, 601]","[343, 137, 222, 494]"
A001230,동국제강,"[-14.25, -3.63, 3.35, 22.32]","[-2.32, -8.29, 11.9, 2.86]","[0.35, 0.3, 0.37, 0.56]","[1450, 1646, 2947, 8388]","[-3045, -817, 695, 5239]"
A005965,동부건설우,"[15.29, 10.1, 22.97]","[3.05, 6.87, 2.86]","[0.45, 0.68, 0.6]","[555, 482, 613]","[598, 443, 1165]"
A005960,동부건설,"[15.29, 10.1, 22.97]","[3.05, 6.87, 2.86]","[0.45, 0.68, 0.6]","[555, 482, 613]","[598, 443, 1165]"
A005290,동진쎄미켐,"[17.78, 21.58, 20.92]","[14.71, 22.01, 25.39]","[2.42, 4.33, 4.74]","[1049, 1263, 1318]","[587, 853, 1029]"
A000155,두산우,"[-5.21, 23.52, -34.34, 16.52]","[-23.33, 3.86, -2.03, 7.27]","[1.09, 0.8, 0.56, 0.93]","[11764, 12286, 2750, 11193]","[-3405, 4331, -9639, 6168]"
A000157,두산2우B,"[-5.21, 23.52, -34.34, 16.52]","[-23.33, 3.86, -2.03, 7.27]","[1.09, 0.8, 0.56, 0.93]","[11764, 12286, 2750, 11193]","[-3405, 4331, -9639, 6168]"
A000150,두산,"[-5.21, 23.52, -34.34, 16.52]","[-23.33, 3.86, -2.03, 7.27]","[1.09, 0.8, 0.56, 0.93]","[11764, 12286, 2750, 11193]","[-3405, 4331, -9639, 6168]"
A042670,두산인프라코어,"[11.59, 6.47, 24.63]","[4.53, 10.53, 3.1]","[0.49, 0.68, 1.02]","[8404, 2644, 2645]","[3957, 2851, 5678]"
A192650,드림텍,"[13.24, 8.79, 22.97]","[16.12, 34.41, 11.35]","[1.85, 2.87, 2.3]","[305, 286, 961]","[234, 107, 793]"
A024090,디씨엠,"[14.18, 10.98, 23.91]","[6.06, 7.18, 5.37]","[0.65, 0.6, 0.91]","[175, 147, 349]","[235, 200, 508]"
A263720,디앤씨미디어,"[12.44, 23.23, 25.05]","[48.31, 41.57, 33.61]","[5.72, 8.63, 7.36]","[79, 137, 151]","[49, 109, 155]"
A039840,디오,"[16.97, 7.37, 16.27]","[29.74, 44.05, 20.68]","[4.41, 2.92, 2.96]","[348, 300, 348]","[256, 114, 281]"
A068930,디지털대성,"[8.48, 19.7, 10.24, 16.24]","[17.16, 11.77, 21.73, 12.77]","[1.23, 1.82, 1.89, 1.51]","[126, 211, 142, 262]","[99, 190, 109, 216]"
A290550,디케이티,"[-7.87, 18.32, 17.23, 15.62]","[-46.01, 14.29, 16.81, 19.64]","[3.71, 1.95, 2.7, 2.84]","[87, 129, 145, 170]","[-17, 79, 108, 114]"
A281740,레이크머티리얼즈,"[8.6, 6.49, 5.81, 34.64]","[0.0, 0.0, 91.16, 18.44]","[0.0, 0.0, 4.49, 5.45]","[36, 26, 47, 212]","[22, 18, 20, 170]"
A004000,롯데정밀화학,"[11.73, 12.65, 30.43]","[6.92, 7.16, 3.31]","[0.77, 0.85, 0.87]","[1897, 1392, 2445]","[1684, 1988, 5855]"
A058470,리노공업,"[18.75, 17.37, 27.5]","[18.57, 37.16, 29.12]","[3.25, 6.07, 7.21]","[641, 779, 1171]","[528, 554, 1038]"
A169330,엠브레인,"[19.16, 0, 23.53, 0, 20.22]","[0.0, 0, 0.0, 0, 16.33]","[0, 0, 3.1]","[0, 0, 62]","[0, 0, 49]"
A267980,매일유업,"[0.0, 17.14, 13.67, 15.09]","[10.46, 10.5, 9.51, 7.33]","[1.78, 1.67, 1.21, 0.98]","[744, 853, 865, 894]","[583, 643, 577, 714]"
A067280,멀티캠퍼스,"[18.19, 8.76, 15.99]","[11.03, 20.41, 13.44]","[1.86, 1.73, 2.0]","[242, 137, 265]","[189, 99, 206]"
A215200,메가스터디교육,"[20.45, 8.38, 26.83]","[10.42, 21.47, 12.04]","[1.96, 1.72, 2.86]","[596, 328, 990]","[484, 210, 815]"
A138040,메리츠금융지주,"[13.87, 15.26, 16.06, 20.64]","[5.18, 4.15, 2.74, 8.19]","[0.64, 0.58, 0.39, 1.49]","[8024, 9623, 13721, 17619]","[6401, 7871, 9253, 13096]"
A008560,메리츠증권,"[13.0, 15.05, 13.08, 15.24]","[7.11, 4.8, 4.74, 6.3]","[0.84, 0.62, 0.56, 0.77]","[5323, 6799, 8280, 9685]","[4338, 5546, 5651, 7490]"
A000060,메리츠화재,"[11.59, 12.8, 16.91, 17.55]","[10.46, 6.75, 3.88, 7.22]","[1.07, 0.82, 0.64, 1.11]","[3127, 3528, 6080, 0]","[2347, 3013, 4318, 5010]"
A009900,명신산업,"[0.0, 0, 53.84, 0, -67.39, 29.75]","[0.0, 0, 0.0, 0, -19.79, 16.57]","[0, 0, 10.93, 4.34]","[0, 0, 662, 932]","[0, 0, -888, 716]"
A008420,문배철강,"[2.14, 7.47, 19.36]","[22.13, 8.14, 3.09]","[0.45, 0.56, 0.52]","[26, 28, 208]","[24, 86, 254]"
A214180,민앤지,"[14.79, 15.71, 15.9, 17.42]","[16.33, 11.25, 11.62, 9.83]","[2.3, 1.57, 1.67, 1.59]","[260, 270, 282, 419]","[197, 239, 293, 346]"
A222160,바이옵트로,"[-18.75, -18.77, 51.09]","[-18.28, -16.45, 9.95]","[4.18, 3.25, 4.05]","[-7, -6, 30]","[-8, -6, 22]"
A043150,바텍,"[13.13, 14.49, -10.28, 24.37]","[11.77, 12.8, -13.77, 8.33]","[1.46, 1.75, 1.5, 1.81]","[394, 429, 316, 694]","[292, 356, -218, 630]"
A100120,뷰웍스,"[15.56, 16.03, 13.8, 18.8]","[15.89, 13.01, 13.26, 11.46]","[2.31, 1.92, 1.68, 1.83]","[226, 264, 291, 386]","[208, 243, 230, 350]"
A090460,비에이치,"[49.27, 24.22, 8.69, 18.88]","[6.26, 12.4, 28.08, 10.95]","[2.57, 2.36, 2.14, 1.76]","[910, 626, 340, 657]","[839, 566, 259, 657]"
A335890,비올,"[43.5, -12.49, 19.2]","[0.0, -77.85, 28.43]","[0.0, 7.15, 4.89]","[38, 34, 54]","[33, -18, 44]"
A093190,빅솔론,"[6.57, 3.8, 16.23]","[11.2, 15.86, 4.96]","[0.64, 0.51, 0.63]","[95, 41, 140]","[96, 56, 259]"
A143240,사람인에이치알,"[25.35, 18.4, 23.2]","[14.17, 14.5, 15.09]","[3.07, 2.39, 3.02]","[273, 241, 391]","[255, 216, 318]"
A028050,삼성엔지니어링,"[27.49, 17.32, 20.67]","[11.73, 10.29, 12.05]","[2.86, 1.62, 2.24]","[4227, 3612, 5033]","[3238, 2521, 3511]"
A016360,삼성증권,"[8.15, 9.89, 16.94]","[8.8, 7.11, 4.15]","[0.7, 0.68, 0.66]","[5176, 6780, 13087]","[3918, 5078, 9653]"
A003230,삼양식품,"[23.14, 21.46, 15.38]","[11.37, 11.32, 12.67]","[2.39, 2.22, 1.83]","[783, 953, 654]","[600, 680, 567]"
A017480,삼현철강,"[4.45, 5.09, 15.37]","[9.5, 8.44, 3.51]","[0.41, 0.42, 0.5]","[79, 86, 331]","[65, 77, 254]"
A001820,삼화콘덴서,"[63.52, 21.24, 14.28, 17.7]","[8.95, 18.34, 29.38, 19.68]","[4.32, 3.51, 3.89, 3.17]","[813, 373, 271, 390]","[619, 298, 235, 340]"
A038070,서린바이오,"[15.67, 8.18, 23.13]","[7.88, 22.87, 11.64]","[1.17, 1.8, 2.33]","[18, 45, 73]","[89, 48, 158]"
A063170,서울옥션,"[10.0, -9.25, -4.06, 24.29]","[20.36, -14.54, -46.34, 20.86]","[1.83, 1.32, 1.8, 4.27]","[88, -46, -4, 214]","[71, -87, -27, 179]"
A003030,세아제강지주,"[-0.32, 1.76, 16.14]","[-63.9, 10.8, 2.42]","[0.2, 0.18, 0.35]","[631, 671, 2990]","[147, 338, 2267]"
A075580,세진중공업,"[1.13, 1.52, 1.19, 19.43]","[84.31, 74.33, 205.36, 12.26]","[0.96, 1.12, 2.4, 2.17]","[84, 94, 12, 226]","[18, 31, 33, 291]"
A068270,셀트리온,"[11.19, 16.68, 15.81]","[82.05, 96.68, 48.4]","[8.68, 14.7, 7.0]","[3781, 7121, 7525]","[2980, 5192, 5914]"
A357780,솔브레인,"[0, 0, 0.0, 27.03]","[0, 0, 16.83, 12.37]","[0, 0, 4.27, 3.0]","[0, 0, 1040, 1949]","[0, 0, 649, 1547]"
A039670,스포츠서울,"[-166.14, -423.85, 4308.4]","[-0.25, -0.53, 13.75]","[0.98, -2.03, 10.93]","[-59, -56, -35]","[-405, -232, 40]"
A035510,신세계 I&C,"[5.44, 33.89, 16.0]","[17.35, 3.1, 8.75]","[0.88, 0.69, 0.94]","[185, 300, 355]","[107, 696, 390]"
A001725,신영증권우,"[6.53, 1.8, 15.34]","[12.75, 36.69, 4.95]","[0.44, 0.34, 0.35]","[1033, 162, 2575]","[780, 203, 1961]"
A001720,신영증권,"[6.53, 1.8, 15.34]","[12.75, 36.69, 4.95]","[0.44, 0.34, 0.35]","[1033, 162, 2575]","[780, 203, 1961]"
A108320,실리콘웍스,"[8.39, 14.44, 44.49]","[16.8, 13.05, 9.18]","[1.37, 1.78, 3.4]","[473, 942, 3696]","[385, 725, 2964]"
A222800,심텍,"[2.36, -19.5, 25.12, 36.22]","[33.1, -7.95, 11.76, 13.21]","[0.78, 1.77, 2.58, 4.04]","[308, -179, 897, 1603]","[23, -394, 565, 1253]"
A160980,싸이맥스,"[4.12, 20.05, 17.77]","[27.44, 9.84, 8.96]","[1.07, 1.69, 1.39]","[20, 230, 324]","[32, 230, 242]"
A051500,CJ프레시웨이,"[7.29, 2.59, -20.16, 16.86]","[22.96, 66.06, -5.76, 12.25]","[1.61, 1.69, 1.2, 2.0]","[507, 581, -35, 578]","[167, 96, -425, 372]"
A096530,씨젠,"[19.01, 125.91, 62.15]","[30.16, 10.09, 5.94]","[5.25, 7.81, 2.91]","[224, 6762, 6667]","[267, 5031, 5376]"
A127710,아시아경제,"[3.55, 3.17, 17.98]","[13.46, 14.38, 3.48]","[0.49, 0.42, 0.63]","[33, 54, 43]","[41, 43, 254]"
A095340,ISC,"[8.13, 2.57, 3.68, 15.11]","[9.12, 31.7, 60.62, 18.09]","[0.71, 0.8, 2.17, 2.48]","[123, 20, 181, 395]","[122, 32, 55, 290]"
A307180,아이엘사이언스,"[42.77, -37.29, 0.0, 23.78]","[0.0, -13.75, -13.63, 41.98]","[0.0, 3.09, 7.22, 9.34]","[7, 11, -51, 27]","[5, -27, -49, 25]"
A027360,아주IB투자,"[10.07, 26.2, 17.0]","[9.07, 9.59, 12.16]","[0.87, 2.19, 1.85]","[217, 631, 520]","[163, 494, 393]"
A067160,아프리카TV,"[26.6, 32.52, 27.56, 40.66]","[20.8, 23.04, 19.0, 23.39]","[4.61, 6.33, 4.49, 7.74]","[271, 372, 504, 880]","[213, 342, 363, 725]"
A123750,알톤스포츠,"[-55.55, 29.7, 19.7]","[-1.3, 9.25, 11.06]","[0.99, 2.35, 1.94]","[-106, 53, 49]","[-122, 56, 48]"
A238120,얼라인드,"[0.56, 2.21, 22.87]","[417.48, 152.01, 11.12]","[2.32, 3.32, 2.28]","[-4, -3, 22]","[1, 5, 55]"
A289080,SV인베스트먼트,"[19.34, -4.26, 15.54]","[13.62, -98.91, 26.92]","[1.91, 4.44, 3.94]","[80, -24, 110]","[80, -24, 89]"
A034120,SBS,"[0.87, 3.45, -12.32, 29.79]","[74.96, 19.27, -6.39, 4.67]","[0.63, 0.63, 0.81, 1.17]","[51, 126, 691, 2265]","[58, 209, -619, 1857]"
A306040,에스제이그룹,"[0.0, 0, 33.03, 20.6, 23.66]","[0.0, 0, 11.29, 9.9, 10.54]","[0, 2.86, 1.86, 2.23]","[0, 164, 180, 277]","[0, 131, 156, 224]"
A004060,SG세계물산,"[4.81, -5.16, 21.32]","[18.93, -11.83, 2.95]","[0.89, 0.62, 0.57]","[1, -208, -47]","[97, -104, 470]"
A016250,SGC이테크건설,"[6.68, 79.74, 39.96]","[11.73, 1.16, 2.3]","[0.94, 0.84, 0.74]","[129, -364, 691]","[315, 1807, 696]"
A302440,SK바이오사이언스,"[0.0, 0, 6.49, 0, 13.25, 0, 39.14]","[0.0, 0, 0.0, 0, 0.0, 0, 34.54]","[0, 0, 0, 8.16]","[0, 0, 0, 4684]","[0, 0, 0, 3717]"
A326030,SK바이오팜,"[-313.66, 0, -135.18, 15.75]","[0.0, 0, -49.1, 117.39]","[0, 34.91, 17.14]","[0, -2395, 950]","[0, -2474, 648]"
A000660,SK하이닉스,"[4.23, 9.53, 16.84]","[34.15, 18.14, 9.93]","[1.34, 1.56, 1.45]","[27192, 50126, 124103]","[20091, 47589, 96162]"
A036640,HRS,"[1.36, 11.93, 23.05]","[44.52, 10.05, 5.68]","[0.6, 1.11, 1.16]","[16, 103, 179]","[10, 92, 208]"
A011200,HMM,"[-55.46, 8.92, 88.62]","[-1.91, 36.32, 1.96]","[1.04, 2.7, 1.27]","[-2997, 9808, 73775]","[-5898, 1240, 53372]"
